pair_id,seed,stage,face_width,face_height,wh_ratio,jaw_width,cheek_width,temple_width,interocular_dist,nose_width,mouth_width,jaw_angle,contour_area,mut_head,mut_head_cheek,mut_head_chin,mut_head_ear,mut_head_ear_helix,mut_head_ear_lobule,mut_head_eye_botton lid,mut_head_eye_eyelashes,mut_head_eye_iris,mut_head_eye_pupil,mut_head_eye_sclera,mut_head_eye_tear duct,mut_head_eye_top lid,mut_head_eyebrow,mut_head_forehead,mut_head_frown,mut_head_hair,mut_head_hair_sideburns,mut_head_jaw,mut_head_moustache,mut_head_mouth_inferior lip,mut_head_mouth_oral comisure,mut_head_mouth_superior lip,mut_head_mouth_teeth,mut_head_neck,mut_head_nose,mut_head_nose_ala of nose,mut_head_nose_bridge,mut_head_nose_nose tip,mut_head_nose_nostril,mut_head_philtrum,mut_head_temple,mut_head_wrinkles
p4,-1,Original_Mother,581.1041259765625,529.0037841796875,1.0984876155853271,482.0663757324219,560.0437622070312,477.08489990234375,153.0,109.00458526611328,267.0674133300781,103.40750122070312,279916.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4,-1,Recon_Father,569.0008544921875,491.0651550292969,1.1587074995040894,475.05157470703125,536.0149536132812,477.0041809082031,160.0031280517578,116.01724243164062,227.0352325439453,105.04486846923828,259803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4,-1,Recon_Mother,585.0008544921875,524.0152587890625,1.116381287574768,489.0,570.0078735351562,476.00946044921875,149.013427734375,116.01724243164062,264.007568359375,104.25686645507812,282822.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p5,-1,Original_Father,618.012939453125,512.0244140625,1.2069989442825317,516.6052856445312,589.2749633789062,481.004150390625,149.0,123.00406646728516,252.03173828125,109.49594116210938,291955.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p5,-1,Original_Mother,520.0038452148438,426.00469970703125,1.2206528186798096,433.22625732421875,499.03607177734375,445.0550537109375,150.00332641601562,113.00442504882812,237.1033477783203,115.26707458496094,215095.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p5,-1,Recon_Father,625.0128173828125,504.0634765625,1.2399486303329468,513.127685546875,593.4458618164062,490.00408935546875,151.00331115722656,127.0157470703125,241.0186767578125,107.90612030029297,288337.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p5,-1,Recon_Mother,526.0342407226562,440.0284118652344,1.1954551935195923,439.0922546386719,504.03570556640625,456.00439453125,153.00326538085938,115.0,241.0020751953125,112.80313873291016,220029.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,42,Gene_Crossover,577.0078125,447.0011291503906,1.2908419370651245,496.0161437988281,571.0034790039062,479.0166931152344,148.01351928710938,118.00423431396484,236.01907348632812,117.29204559326172,255366.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,42,Mutation_Enabled,568.0712890625,445.0718994140625,1.2763584852218628,462.0010681152344,539.0037231445312,472.0010681152344,146.0,116.0,225.0555419921875,111.75000762939453,241914.5,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1
p1,42,StyleGAN2_Output,571.0140380859375,444.0045166015625,1.2860546112060547,465.0,539.0037231445312,481.004150390625,152.0032958984375,116.0,223.05604553222656,112.58174896240234,241265.5,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1
p1,43,Gene_Crossover,577.0078125,442.0180969238281,1.3053940534591675,486.0092468261719,559.008056640625,485.0257873535156,152.0,111.0,225.0555419921875,115.7071533203125,244536.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,43,Mutation_Enabled,574.070556640625,414.0978088378906,1.3863162994384766,480.00103759765625,563.0009155273438,475.0,146.00341796875,120.00416564941406,230.0782470703125,120.65959930419922,238923.0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0
